"","station","parameter","time","value","unit","qaqc_flag_id"
"303","FRK","pH",2021-01-04 03:30:00,7.5,"pH Units","G"
"304","FRK","pH",2021-01-04 03:45:00,7.49,"pH Units","G"
"305","FRK","pH",2021-01-04 04:00:00,7.5,"pH Units","G"
"306","FRK","pH",2021-01-04 04:15:00,7.51,"pH Units","G"
"307","FRK","pH",2021-01-04 04:30:00,7.52,"pH Units","G"
"308","FRK","pH",2021-01-04 04:45:00,7.52,"pH Units","G"
"309","FRK","pH",2021-01-04 05:00:00,7.53,"pH Units","G"
"310","FRK","pH",2021-01-04 05:15:00,7.53,"pH Units","G"
"311","FRK","pH",2021-01-04 05:30:00,7.53,"pH Units","G"
"312","FRK","pH",2021-01-04 05:45:00,7.52,"pH Units","G"
"313","FRK","pH",2021-01-04 06:00:00,7.52,"pH Units","G"
"314","FRK","pH",2021-01-04 06:15:00,7.52,"pH Units","G"
"315","FRK","pH",2021-01-04 06:30:00,7.52,"pH Units","G"
"316","FRK","pH",2021-01-04 06:45:00,7.52,"pH Units","G"
"317","FRK","pH",2021-01-04 07:00:00,7.53,"pH Units","G"
"318","FRK","pH",2021-01-04 07:15:00,7.53,"pH Units","G"
"319","FRK","pH",2021-01-04 07:30:00,7.54,"pH Units","G"
"320","FRK","pH",2021-01-04 07:45:00,7.53,"pH Units","G"
"321","FRK","pH",2021-01-04 08:00:00,7.55,"pH Units","G"
"322","FRK","pH",2021-01-04 08:15:00,7.56,"pH Units","G"
"323","FRK","pH",2021-01-04 08:30:00,7.57,"pH Units","G"
"324","FRK","pH",2021-01-04 08:45:00,7.57,"pH Units","G"
"325","FRK","pH",2021-01-04 09:00:00,7.57,"pH Units","G"
"326","FRK","pH",2021-01-04 09:15:00,7.58,"pH Units","G"
"327","FRK","pH",2021-01-04 09:30:00,7.57,"pH Units","G"
"328","FRK","pH",2021-01-04 09:45:00,7.58,"pH Units","G"
"329","FRK","pH",2021-01-04 10:00:00,7.58,"pH Units","G"
"330","FRK","pH",2021-01-04 10:15:00,7.59,"pH Units","G"
"331","FRK","pH",2021-01-04 10:30:00,7.59,"pH Units","G"
"332","FRK","pH",2021-01-04 10:45:00,7.6,"pH Units","G"
"333","FRK","pH",2021-01-04 11:00:00,7.6,"pH Units","G"
"334","FRK","pH",2021-01-04 11:15:00,7.6,"pH Units","G"
"335","FRK","pH",2021-01-04 11:30:00,7.6,"pH Units","G"
"336","FRK","pH",2021-01-04 11:45:00,7.57,"pH Units","G"
"337","FRK","pH",2021-01-04 12:00:00,7.57,"pH Units","G"
"338","FRK","pH",2021-01-04 12:15:00,7.56,"pH Units","G"
"339","FRK","pH",2021-01-04 12:30:00,7.55,"pH Units","G"
"340","FRK","pH",2021-01-04 12:45:00,7.56,"pH Units","G"
"341","FRK","pH",2021-01-04 13:00:00,7.57,"pH Units","G"
"342","FRK","pH",2021-01-04 13:15:00,7.57,"pH Units","G"
"343","FRK","pH",2021-01-04 13:30:00,7.57,"pH Units","G"
"344","FRK","pH",2021-01-04 13:45:00,7.57,"pH Units","G"
"345","FRK","pH",2021-01-04 14:00:00,7.57,"pH Units","G"
"346","FRK","pH",2021-01-04 14:15:00,7.58,"pH Units","G"
"347","FRK","pH",2021-01-04 14:30:00,7.58,"pH Units","G"
"348","FRK","pH",2021-01-04 14:45:00,7.58,"pH Units","G"
"349","FRK","pH",2021-01-04 15:00:00,7.58,"pH Units","G"
"350","FRK","pH",2021-01-04 15:15:00,7.57,"pH Units","G"
"351","FRK","pH",2021-01-04 15:30:00,7.57,"pH Units","G"
"352","FRK","pH",2021-01-04 15:45:00,7.58,"pH Units","G"
"353","FRK","pH",2021-01-04 16:00:00,7.59,"pH Units","G"
"354","FRK","pH",2021-01-04 16:15:00,7.61,"pH Units","G"
"355","FRK","pH",2021-01-04 16:30:00,7.63,"pH Units","G"
"356","FRK","pH",2021-01-04 16:45:00,7.64,"pH Units","G"
"357","FRK","pH",2021-01-04 17:00:00,7.64,"pH Units","G"
"358","FRK","pH",2021-01-04 17:15:00,7.65,"pH Units","G"
"359","FRK","pH",2021-01-04 17:30:00,7.65,"pH Units","G"
"360","FRK","pH",2021-01-04 17:45:00,7.67,"pH Units","G"
"361","FRK","pH",2021-01-04 18:00:00,7.68,"pH Units","G"
"362","FRK","pH",2021-01-04 18:15:00,7.68,"pH Units","G"
"363","FRK","pH",2021-01-04 18:30:00,7.69,"pH Units","G"
"364","FRK","pH",2021-01-04 18:45:00,7.69,"pH Units","G"
"365","FRK","pH",2021-01-04 19:00:00,7.7,"pH Units","G"
"366","FRK","pH",2021-01-04 19:15:00,7.69,"pH Units","G"
"367","FRK","pH",2021-01-04 19:30:00,7.69,"pH Units","G"
"368","FRK","pH",2021-01-04 19:45:00,7.69,"pH Units","G"
"369","FRK","pH",2021-01-04 20:00:00,7.69,"pH Units","G"
"370","FRK","pH",2021-01-04 20:15:00,7.69,"pH Units","G"
"371","FRK","pH",2021-01-04 20:30:00,7.69,"pH Units","G"
"372","FRK","pH",2021-01-04 20:45:00,7.7,"pH Units","G"
"373","FRK","pH",2021-01-04 21:00:00,7.69,"pH Units","G"
"374","FRK","pH",2021-01-04 21:15:00,7.68,"pH Units","G"
"375","FRK","pH",2021-01-04 21:30:00,7.66,"pH Units","G"
"376","FRK","pH",2021-01-04 21:45:00,7.64,"pH Units","G"
"377","FRK","pH",2021-01-04 22:00:00,7.62,"pH Units","G"
"378","FRK","pH",2021-01-04 22:15:00,7.61,"pH Units","G"
"379","FRK","pH",2021-01-04 22:30:00,7.6,"pH Units","G"
"380","FRK","pH",2021-01-04 22:45:00,7.6,"pH Units","G"
"381","FRK","pH",2021-01-04 23:00:00,7.6,"pH Units","G"
"382","FRK","pH",2021-01-04 23:15:00,7.59,"pH Units","G"
"383","FRK","pH",2021-01-04 23:30:00,7.59,"pH Units","G"
"384","FRK","pH",2021-01-04 23:45:00,7.59,"pH Units","G"
"385","FRK","pH",2021-01-05 00:00:00,7.59,"pH Units","G"
